"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"23 Sept 2025 23:28:59 UTC","25572341482","Order","205-4939688-2549926","TRU0207","Trumpeter 1:35-280mm K5E Leopold German Railroad Gun","1","amazon.co.uk","Seller","Pembroke","Pembs","SA71 4","MarketplaceFacilitator","83.58","16.72","0","0","0","0","0","0","-16.72","-18.21","0","-0.36","0","65.01"
"24 Sept 2025 03:50:27 UTC","25572341482","Transfer","","","To account ending with: 796","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2,298.04","-2,298.04"
"24 Sept 2025 11:23:09 UTC","25572341482","Order","205-3645374-8755539","REV05231","Revell 05231 Ocean Liner Queen Mary 2 1:700 Scale Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","CANNOCK","","WS11 7","MarketplaceFacilitator","36.17","7.23","0","0","0","0","0","0","-7.23","-7.88","0","-0.16","0","28.13"
"24 Sept 2025 13:21:14 UTC","25572341482","Order","206-4548177-6537936","FR67233-9","FRANZIS 67233 Porsche 911 Turbo Advent Calendar Model Kit 1:43 Scale Includes Sound Module and 52-Page Accompaniment Book","1","amazon.co.uk","Seller","READING","Berks","RG6 5","MarketplaceFacilitator","96.30","7.70","0","0","0","0","0","0","-7.70","-18.88","0","-0.38","0","77.04"
"24 Sept 2025 13:51:50 UTC","25572341482","Order","206-7243493-3244362","REV01053","Revell Advent Calendar RC Claas 960 Axio I Claas Tractor I DIY Advent Calendar I Christmas Calendar for Boys, Girls and Adults from 8 Years I Tractor","1","amazon.co.uk","Seller","Craigavon","Co. Armagh","BT636","","32.00","6.40","0","0","0","0","0","0","0","-6.97","0","-0.15","0","31.28"
"24 Sept 2025 17:14:29 UTC","25572341482","Order","026-3200962-7947557","JC84494","Jaegerndorfer JaegerndorferJC84494 LangeWand Electric Cableway Toy Vehicle","1","amazon.co.uk","Seller","GIRVAN","","KA26 9","","297.03","0","0","0","0","0","0","0","0","-53.91","0","-1.08","0","242.04"
"24 Sept 2025 18:13:25 UTC","25572341482","Order","202-1534086-1929909","REV14522","Revell Monogram 14522-1970 Buick GSX 2N1-1:24 Scale - Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","WITNEY","","OX29 8","MarketplaceFacilitator","29.44","5.89","0","0","0","0","0","0","-5.89","-6.41","0","-0.13","0","22.90"
"24 Sept 2025 20:49:38 UTC","25572341482","Order","026-2694998-4997941","REV07657","Revell 07657 Mercedes Benz 300 SL 1:12 Scale Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","STOKE-ON-TRENT","","ST10 1","MarketplaceFacilitator","33.64","6.73","0","0","0","0","0","0","-6.73","-7.33","0","-0.15","0","26.16"
"24 Sept 2025 21:45:14 UTC","25572341482","Order","026-4750383-2404324","REV01208","Revell 01208 B-Wing Fighter Bandai (Click System) 1:72 Scale Unbuilt/Pre-coloured/Click-Together (Non-Glue) Plastic Model Kit","1","amazon.co.uk","Seller","EDINBURGH","","EH5 3","MarketplaceFacilitator","29.67","5.93","0","0","0","0","0","0","-5.93","-6.46","0","-0.13","0","23.08"
"24 Sept 2025 22:37:52 UTC","25572341482","Order","205-6679760-8244361","REV00960","Revell Brick System 00960 U-Boat ""Das Boot"" Submarine Building Block Set, 1:56 Scale, 120cm in length, 6,483 Pieces, Includes Display Stand and Sticke","1","amazon.co.uk","Seller","Maidstone","kent","ME15 7","","234.00","0","0","0","0","0","0","0","0","-42.48","0","-0.85","0","190.67"
"24 Sept 2025 23:22:03 UTC","25572341482","Order","205-2168470-6714718","REV01206","Revell 01206 Millennium Falcon ""Perfect Grade"" Bandai (Click System) 1:72 Scale Unbuilt, Pre-coloured, Click-Together (Non-Glue), Plastic Model Kit","1","amazon.co.uk","Seller","grantham","lincs","NG318","","259.81","0","0","0","0","0","0","0","0","-47.15","0","-0.94","0","211.72"
"25 Sept 2025 00:07:57 UTC","25572341482","Order","205-3322264-6133933","REV07651","Revell 07651 London Bus 1:24 Scale Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","Birmingham","West mids","B448","MarketplaceFacilitator","40.57","8.12","0","0","0","0","0","0","-8.12","-8.83","0","-0.18","0","31.56"
"25 Sept 2025 22:08:22 UTC","25572341482","Order","206-8627402-0303507","AHHQ009","Takom TKOAHHQ-009 Ande's Hobby HQ 1/16 US M113A1 Armored Personnel Carrier/ACAV 2 in 1 Plastic Model","1","amazon.co.uk","Seller","London","","N1 2","MarketplaceFacilitator","111.32","22.27","0","0","0","0","0","0","-22.27","-24.25","0","-0.48","0","86.59"
"26 Sept 2025 10:19:23 UTC","25572341482","Order","026-1768805-8257933","TAK2125W","TAKOM TAK2125W Jagdpanther G1 Early Production with Zimmerit Limited Edition Scale 1:35 Model Building Plastic Kit","1","amazon.co.uk","Seller","NOTTINGHAM","","NG16 1","MarketplaceFacilitator","53.90","10.78","0","0","0","0","0","0","-10.78","-11.74","0","-0.23","0","41.93"
"26 Sept 2025 11:47:41 UTC","25572341482","Order","205-3789022-1906742","FR67501-9","Franzis 67501 Ford Mustang V8 Engine 1:4 Scale Engine Kit with Sound Module, Instructions and 100 Page Accompaniment Book","1","amazon.co.uk","Seller","ASHBY-DE-LA-ZOUCH","","LE65 2","","195.88","0","0","0","0","0","0","0","0","-35.55","0","-0.72","0","159.61"
