"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"13 Sept 2025 21:05:48 UTC","25490868382","Order","026-9763698-5117127","WKWKH148URD","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Red Kettle","1","amazon.co.uk","Amazon","Cheltenham","Gloucestershire","GL52 7","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.16","-5.54","-0.31","0","30.61"
"13 Sept 2025 23:14:31 UTC","25490868382","Order","202-7835866-1402762","WKTTB857URD","Westinghouse Retro 2-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","LONDON","","E14 9","MarketplaceFacilitator","46.62","9.33","0.53","0.11","0","0","-0.53","-0.11","-9.33","-10.15","-6.28","-0.32","0","29.87"
"14 Sept 2025 18:18:39 UTC","25490868382","Order","204-4765550-5507527","WKHM250UWH","Westinghouse Retro Hand Mixer for Baking - 350W Handheld Electric Whisk - Includes 2 Egg Beaters and 2 Dough Hooks - Powerful Food Mixer for Kitchen U","1","amazon.co.uk","Amazon","GREAT TEW","Chipping Norton","OX7 4","MarketplaceFacilitator","39.96","7.99","0.06","0.01","0","0","-0.06","-0.01","-7.99","-8.70","-5.73","-0.28","0","25.25"
"14 Sept 2025 20:17:04 UTC","25490868382","Order","026-2045815-6055522","WKWKH148UBK","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Kettle (Black","1","amazon.co.uk","Amazon","LONDON","","SW16 2","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.15","-5.54","-0.32","0","30.61"
"15 Sept 2025 15:51:40 UTC","25490868382","Order","204-3868213-9839555","WKHBS270UBK","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","London","","SE11 4","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.95","-0.21","0","17.97"
"15 Sept 2025 16:42:36 UTC","25490868382","Service Fee","","","Cost of Advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-506.48","0","-506.48"
"15 Sept 2025 17:51:53 UTC","25490868382","Order","026-5827097-7129935","WKHBS270UBK","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","BELFAST","","BT5 6","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.26","-0.21","0","18.66"
"15 Sept 2025 20:43:09 UTC","25490868382","Order","204-4913589-8227553","WKTTB809UWH","Westinghouse Retro 4-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","GREAT TEW","Chipping Norton","OX7 4","MarketplaceFacilitator","60.79","12.16","0","0","0","0","0","0","-12.16","-13.24","-6.63","-0.39","0","40.53"
"15 Sept 2025 20:58:19 UTC","25490868382","Order","206-1787481-9550751","WKWKH148URD","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Red Kettle","1","amazon.co.uk","Amazon","PETERLEE","","SR8 5","MarketplaceFacilitator","46.62","9.33","2.08","0.42","0","0","0","0","-9.75","-10.15","-8.07","-0.36","0","30.12"
"15 Sept 2025 22:39:03 UTC","25490868382","Order","206-2752171-3537965","WKHBS270UBK","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","UXBRIDGE","MIDDX","UB10 8","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.94","-0.20","0","17.99"
