"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"13 août 2025 14:14:07 UTC","25314042292","Commande","404-3341209-1981152","BIRC05001","Birchmeier Laiton Extension 100 cm","1","amazon.fr","Vendeur","Thignonville","","45300","","52,46","10,49","0","0","0","0","0","0","0","-11,42","0","-0,23","0","51,30"
"13 août 2025 20:54:53 UTC","25314042292","Commande","406-4376364-6438716","JOLL069B","Jolly Pets Ball Push-n-Play Jouet pour Chien Bleu 15 cm","1","amazon.fr","Amazon","Apinac","","42550","","15,82","3,17","0","0","0","0","0","0","0","-3,44","-11,64","-0,30","0","3,61"
"13 août 2025 20:58:07 UTC","25314042292","Commande","406-4350302-4851535","HOOI018M06","Hay Slowfeeder Fun&Flex Ø 22 cm - Filet a Foin Chevaux - Slowfeeder Chevaux - Convient pour Les Animaux au pâturage - Contre la détérioration des","1","amazon.fr","Amazon","Plesse","","44630","","22,50","4,50","0","0","0","0","0","0","0","-4,91","-8,27","-0,27","0","13,55"
"13 août 2025 21:34:11 UTC","25314042292","Commande","406-7615841-4549169","ROYA0052","Royal Dry Doggybag - Sac de séchage pour Chien en Microfibre - Taille M - Longueur de Dos 60 cm - Serviette pour Chien - Ultra Absorbant et à sécha","1","amazon.fr","Amazon","GER","","50850","","31,62","6,33","0","0","0","0","0","0","0","-6,89","-11,64","-0,36","0","19,06"
"13 août 2025 22:19:54 UTC","25314042292","Commande","407-1692592-8765930","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","IRISSARRY","","64780","","38,66","7,73","0","0","0","0","0","0","0","-8,42","0","-0,17","0","37,80"
"13 août 2025 22:29:38 UTC","25314042292","Commande","405-7953763-6739534","MOSE0608","WAHL Peigne pour Cheval Adore/Adelar","1","amazon.fr","Amazon","Berthenicourt","","02240","","8,29","1,66","0","0","0","0","0","0","0","-0,97","-3,38","-0,09","0","5,51"
"13 août 2025 22:31:22 UTC","25314042292","Commande","404-8203203-1656342","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","Gorcy","","54730","","35,32","7,07","0","0","0","0","0","0","0","-7,70","0","-0,16","0","34,53"
"13 août 2025 23:52:29 UTC","25314042292","Commande","406-1612342-7537928","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","pelissanne","","13330","","38,66","7,73","0","0","0","0","0","0","0","-8,42","0","-0,16","0","37,81"
"14 août 2025 00:10:50 UTC","25314042292","Commande","408-6524133-1842703","HOOI018M06","Hay Slowfeeder Fun&Flex Ø 22 cm - Filet a Foin Chevaux - Slowfeeder Chevaux - Convient pour Les Animaux au pâturage - Contre la détérioration des","1","amazon.fr","Amazon","Houlbec Cocherel","","27120","","21,92","4,38","3,32","0,67","0","0","0","0","0","-4,77","-12,27","-0,35","0","12,90"
"14 août 2025 10:07:08 UTC","25314042292","Commande","403-4202419-0450762","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","1","amazon.fr","Vendeur","MOIRE","","69620","","33,99","6,80","0","0","0","0","0","0","0","-7,41","0","-0,15","0","33,23"
